N° de Bien | Descripcion
REN-00022 | REGLAMENTO GENERAL DE ALIMENTOS
21989 | ESCRITORIO EN FORMICA PALO DE ROSA, 2 GAVETAS CON CERRADURA DE 1 ,20 X 0,73 X 0,70, MOD.: S/N, SER.: S/N
161443 | TECLADO CON MOUSE GENIUS
49168 | PAPELERA METALICA COLOR BEIGE, MOD.: S/N, SER.: S/N	
156063-1 | PERSIANA VERTICAL 1,25 C/RIEL	
159046-4 | TECLADO COMBO COLOR NEGRO
163810 | MOUSE USA NET	
PGEB-BM-128 | SILLA SEMI EJECUTIVA CON BRAZO COLOR NEGRO
PGEB-BM-251 | SUMADORA DR-120	
66461 | 30 MTS. DE CANALETA 1 COMP. 22 X 12 X 100, PLASTICA, MOD.: S/N, SER.: S/N
151526-5 | COMBO BASE CORNETAS (A) TECLADO (B) MOUSE C
151542 | MOUSE OPTICO PS/2 LM 7035	
156063-6 | PERSIANA VERTICAL 1,5 C/RIEL	
PGEB-BM-256 | UPS  MODELO PWX-650,MARCA EMERALD CAPACIDAD 650VA COD. 12944012285	
PGEB-BM-159 | AIRE ACONDICIONADO TIPO SPLIT DE 24 MIL BTU MARCA PREMIUM	
PGEB-BM-190 | FOTOCOPIADORA CANON IR-210	
PGEB-BM-447 | ESCRITORIO METALICO CON MESA DE FORMICA 6 GAVETAS, MOD.: S/N, SER.: S/N
PGEB-BM-108 | CPU INTEL PENTIUM DUAL CORE 22 GHZ,TARJETA MADRE FOXCON CHIP INTEL 945,DIMM DDR2, 2 GB MARKVISION,DISCO DURO DE 160 GB SANSUNG SATA,DVD SUPER MULTI DVD-RW 20X LGSATA
PGEB-BM-135 | CASE P4 APSU,CPU INTEL DUAL CORE E5200 2,50 GB B 800 PROCESADOR,TARJETA MADRE ASROCK 1333 MHZ 945 GCM-S,DISCO DURO 500 GB HITACHI SATA 2,DIMM DDR2 2 GB 800,DVD SUPER MULTI-DVD RW 22 XLG SATA
PGEB-BM-420 | ARCHIVO METALICOS DE CUATRO GAVETAS COLOR GRIS, MOD.: S/N, SER: S/N
159046-3 | CORNETAS COMBO
PGEB-BM-383 | REGULADOR DE VOLTAJE I AVTEK, MOD.: S/N, SER: RP10572
PGEB-BM-141 | SILLA EJECUTIVA PISA SAFA, COLOR NEGRO	
PGEB-BM-1 | CPU SIRAGON, P4, 2,4 GHZ, 512K, TARJETA BOSFAR U8668, V/S/F/L 256MB RAM	
PGEB-BM-106 | MONITOR LCD 19" - LG L194 WS	
PGEB-BM-136 | MONITOR AOC 17"
PGEB-BM-51 | IMPRESORA HP-1018, LASERT JET, SERIAL NO CNB1200363	
PGEB-BM-451 | PIZARRA PORCELANIZADA TIPO ROTAFOLIO, MOD: S/N, SER: S/N
PGEB-BM-982 | ARCHIVO DE FORMICA 4 GAVETAS COLOR PALO DE ROSA
156071 | SWICHT MEGAPOWER 5 PUERTOS	
30219 | PAPELERA EN METAL COLOR BEIGE., MOD.: S/N, SER: S/N	
49186 | PAPELERA METALICA COLOR BEIGE, MOD.: S/N, SER.: S/N	
112322 | CORNETAS, MARCA TECH	
148132 | MOUSE, MARCA GENIUS, COLOR GRIS, SERIAL 141934614023	
151545 | MOUSE OPTICO PS/2 LM 7035	
65952 | 305 MTS BOBINA DE CABLE UTP CAT5 CON 50 CONECTORES RJ-45 CAT5, MOD.: S/N, SER: S/N
PGEB-BM-247 | TELEFONERA HORIZONTAL  LASIO COLOR GRIS	
PGEB-BM-422 | ESCAPARATE METALICO DE (2) DOS PUERTAS, (4) CUATRO TRAMOS Y CERRADURA, COLOR GRIS., MOD.: S/N, SER.: S/N
PGEB-BM-461 | ESCAPARATE METALICO DOS (2) PUERTAS CON CERRADURA Y 4 ENTREPANOS, COLOR BEIGE, MOD.: S/N, SER: S/N	
PGEB-BM-165 | SILLA OPERATIVA VERONA 102 NEGRA
156102 | TECLADO GENIUS PS/2, COLOR NEGRO	
JBM-00410 | BOLETIN DE JURISPRUDENCIA. 2DA ETAPA (MAXIMARIO), AUTOR: CORTE SUPREMA DE JUSTICIA
PGEB-BM-960 | BIBLIOTECA EN FORMICA EN L 4 GAVETAS(2 M ALT.* 0,94 M ANCHO* 0,29 MT PROF) COLOR NEGRO/GRIS	
JBM-00404 | BOLETIN DE JURISPRUDENCIA. 2DA ETAPA (MAXIMARIO), AUTOR: CORTE SUPREMA DE JUSTICIA
JBM-00402 | BOLETIN DE JURISPRUDENCIA. 2DA ETAPA (MAXIMARIO), AUTOR: CORTE SUPREMA DE JUSTICIA
FCB-1565 | TECLADO MARCA MEGA POWER  COLOR NEGRO
PGEB-BM-132 | AIRE ACONDICIONADO DE VENTANA LG W091CA, 9000 BTU, SERIAL: 6791EX4120000416	
PGEB-BM-252 | UPS APC	
PGEB-BM-133 | CASE P4 APSU
PGEB-BM-25 | CPU 226 INTEL PENTIUM IV  2,66 GHZ, 533 MHZ LGA-775,MB BIOSTAR P4 M80-M7 A/V/R 3PCI LGA-7, DISCO DURO 80 GB 7200 RPM IDE HITACHI 1B, UNIDAD DE CD-ROOM 56X BENQ BLACK, UNIDAD DE FLOPPY 3.5" HD BLACK, DIMM MEMORIA 256MB, PC 3200/400 DDR, CASE 6210L-CA SF-2 BLACK SILVER
PGEB-BM-497 | REGULADOR YBT COMPUTER, 600 VA., MOD.: S/N, SER.: S/N	
PGEB-BM-140 | SILLA EJECUTIVA PISA SAFA, COLOR NEGRO	
PGEB-BM-146 | SILLA EJECUTIVA PISA SAFA, COLOR AZUL	
PGEB-BM-109 | MONITOR LCD 17" - SANSUMG SERIAL PE17HVFPS 02232J	
PGEB-BM-134 | MONITOR AOC 17"	
PGEB-BM-218 | MONITOR 18,6" AOC LCD	
PGEB-BM-267 | MONITOR LCD 18.5 AITEG	
PGEB-BM-277 | IMPRESORA HP MULTIFUNCIONAL COLOR NEGRO SERIAL NO CN2AE3HJ1D	
PGEB-BM-388 | IMPRESORA MARCA EPSON, LX-300 , MOD.: LX-300, SER: 278388	
PGEB-BM-529 | IMPRESORA MARCA HP MOD. 845C SERIAL NO TH19 120RV C8934A COLOR GRIS	
JBM-00406 | BOLETIN DE JURISPRUDENCIA. 2DA ETAPA (MAXIMARIO), AUTOR: CORTE SUPREMA DE JUSTICIA
114028 | CAJA CHICA C/BANDEJA Y LLAVE NUMERO 3, COLOR AZUL	
49167 | PAPELERA METALICA COLOR BEIGE, MOD.: S/N, SER: S/N	
49622 | BRAZO HIDRAULICO INSTALADO, MOD.: S/N, SER: S/N	
161444 | TECLADO CON MOUSE GENIUS
49613 | LAMPARA ELECTRICA DE MESA FLUORESCENTE DE UN BOMBILLO, MOD.: S/N, SER.: S/N
148139-5 | COMBO BASE CORNETAS (A), TECLADO (B) MOUSE C
49184 | PAPELERA METALICA COLOR BEIGE, MOD.: S/N, SER.: S/N	
66516 | CORNETAS SIRAGON NEGRO Y PLATEADO SPEAKER SYSTEM 180W,, MOD.: S/N, SER: S/N	
49615 | LAMPARA ELECTRICA DE MESA FLUORESCENTE DE UN BOMBILLO, MOD.: S/N, SER.: S/N	
65973 | BRAZO HIDRAULICO INSTALADO, MOD.: S/N, SER: S/N
163808 | BREAK A/A PRE/220 CABLE
49190 | PAPELERA METALICA COLOR MARRON, MOD.: S/N, SER.: S/N	
PGEB-BM-445 | SILLAS VISITANTE EN SEMI CUERO S/BRAZOS, LINEA CROMADA, MOD.: S/N, SER.: S/N	
PGEB-BM-166 | SILLA OPERATIVA VERONA  102 NEGRA	
PGEB-BM-504 | ESCRITORIO MODULAR EN FORMICA DE 1 ,30 X 1 ,60, ALA DE 1 X 0,50, CON SEPARADOR, COLOR NEGRO Y BEIGE, MOD. S/N, SER.: S/N
PGEB-BM-127 | SILLA SEMI EJECUTIVA CON BRAZO COLOR NEGRO
PGEB-BM-359 | ESCRITORIO EN FORMICA DE 3 GAVETAS, CON CERRADURA DE 1 ,40 X 0,80 X 0,73, MOD.: S/N, SER.: S/N	
PGEB-BM-511 | CPU SIRAGON, P4, 2,4 GHZ, 512K, TARJETA BOSFAR U8668, V/S/F/L 256MB RAM
PGEB-BM-55 | CPU INTEL P4 3,0 GHZ 1 MB/800 MHZ LGA-775,CASE KODE BLACK,UNIDAD DE FLOPPY 3,5" HD BLACK,UNIDAD DE CD-ROOM 52X BLACK,DISCO DURO 80,0 GB 7200 RPM, IDE,DIMM MEMORIA DDR2, 512 MB, 400/3200,MB BOISTARD, P4, M80-M7 A/V/R 3PCI LGA-775.
PGEB-BM-489 | REGULADOR YBT COMPUTER, 600 VA., MOD.: S/N, SER.: S/N
PGEB-BM-107 | REGULADOR DE VOLTAJE CDP AVR 1006 1000A	
PGEB-BM-114 | REGULADOR DE VOLTAJE MARCA SONEVIEW	
PGEB-BM-390 | REGULADOR DE VOLTAJE MARCA AVTEK, MOD.: S/N, SER: RP10554304
PGEB-BM-380 | SILLA SUPER EJECUTIVA EN SEMICUERO MARRON, GIRATORIA, CON BRAZOS, LINEA IRON., MOD.: S/N, SER.: S/N
PGEB-BM-75 | SILLA GERENCIAL, MOB TECHM TIPO CUERO, COLOR NEGRO
PGEB-BM-466 | IMPRESORA HP LASERJET 1200 C/SERVIDOR DE IMPRESION, MOD.: HP-1200, SER: CNBRH15337
65975 | CABLE RJ-45 UT NIVEL 5 HENIX (100 MTS), MOD.: S/N, SER.: S/N
65974 | CANALETAS DE 22 X 12 X 21 X 3/4 (5 MTS), MOD.: S/N, SER.: S/N
151549 | TECLADO MULTIMEDIA CONFORT TYPE PS/2
96074 | TECLADO WIN SIRAGON, PS2 COLOR NEGRO Y PLATEADO, MOD.: S/N, SER.: S/N
112316 | TECLADO, MARCA TECH NEGRO
156090-6 | TECLADO (CASE COMBO MEGA POWER COLOR GRIS)
120093 | MOUSE OPTICO SPPED PS/2 (BLANCO TECH)
104588 | TECLADO 101 TECLAS PS/2, MARCA TURBO
104589 | TECLADO 101 TECLAS PS/2, MARCA TURBO
104530 | TECLADO A4 NTECH PS/2. MOD. S/N. SER.: S/N
162702 | TECLADO A4T CHBS-720
162699 | TECLADO A4T CHBS-720
161431 | TECLADO DELCON 6830 USB
120078 |  MOUSE
PGEB-BM-179 | CASE,UNIDAD DE CD ROM,DISCO DURO 160GB,PROCESADOR INTEL DUAL CORE 2,7,TARJETA DE MEMORIA ASROCK INTEL  775,MEMORIA 2 GB
156093-6 | TECLADO (CASE COMBO MEGA POWER COLOR GRIS)
PGEB-BM-488 | CASE SIRAGON NEGRO Y PLATEADO, CPU PENTIUM IV 1.8 GHZ, 512 KB, TARJETA BIOSTAR U8668, HD DE 40 GB, DIMM 256MB, UNIDAD DE CD 52X LG, FLOPPY 3 1/2, MOD.:
PGEB-BM-498 | ESCRITORIO MODULAR EN FORMICA DE 1 ,30 X 1 ,60, ALA DE 1 X 0,50, CON SEPARADOR, COLOR NEGRO Y BEIGE, MOD. S/N, SER.: S/N
PGEB-BM-499 | ESCRITORIO MODULAR EN FORMICA DE 1,30 X 1,60, ALA DE 1 X 0,50, CON SEPARADOR, COLOR NEGRO Y BEIGE, MOD. S/N, SER.: S/N
PGEB-BM-502 | ESCRITORIO MODULAR EN FORMICA DE 1,30 X 1,60, ALA DE 1 X 0,50, CON SEPARADOR, COLOR NEGRO Y BEIGE, MOD. S/N, SER.: S/N
PGEB-BM-503 | ESCRITORIO MODULAR EN FORMICA DE 1 ,30 X 1 ,60, ALA DE 1 X 0,50, CON SEPARADOR, COLOR NEGRO Y BEIGE, MOD. S/N, SER.: S/N
PGEB-BM-515 | CPU SIRAGON, P4, 2,4 GHZ, 512K, TARJETA BOSFAR U8668, V/S/F/L 256MB RAM
PGEB-BM-454 | REGULADOR DE VOLTAJE INTEGRA, MOD.: , SER:
PGEB-BM-110 | REGULADOR DE VOLTAJE CDP AVR 1006 1000A
PGEB-BM-54 | REGULADOR DE VOLTAJE, 1000 VA, 6 TOMAS, CHICAGO DIGITAL POWER CDP
PGEB-BM-78 | SILLA GERENCIAL, MOB TECHM TIPO CUERO, COLOR NEGRO
PGEB-BM-399 | SILLA EJECUTIVA VISITANTE, EN SEMICUERO MARRON CLARO, GIRATORIA, CON BRAZOS, LINEA IRON, MOD.: S/N, SER.: S/N
PGEB-BM-183 | MONITOR LG 18,5
PGEB-BM-26 | MONITOR AOC 17", BLACK MOD CT720G SAMSUNG 28
PGEB-BM-487 | MONITOR 15", MARCA SIRAGON, SVGA, COLOR NEGRO Y PLATEADO, MOD.: S/N, SER.: S/N
96063 | TECLADO WIN SIRAGON, PS2 COLOR NEGRO Y PLATEADO, MOD.: S/N, SER: S/N
96110 | CORNETAS MARCA  SIRAGON DE 180W
BU-121 | PORTA TACO ACRILICO, COLOR NEGRO.
148108 | TECLADO EN ESPANOL PS/2 MARCA GENIUS, SERIAL:ZM7312009989
104541 | TECLADO MULTIMEDIA  SIRAGON  PS/2
151547 | TECLADO MULTIMEDIA CONFORT TYPE PS/2
49228 | RIELES (14.86 MTS LINEALES) Y SUMINISTRO PARA CORTINAS VERTICALES LUMINIZADAS, MOD.: S/N, SER: S/N
FCB-0917 | PAPELERA TRANSPARENTE CUADRADA COLOR MARRON OSCURO
FCB-0118 | PAPELERA PLASTICA COLOR BEIGE
161410 | PROTECTOR A/A 110V 220V
96064 | CORNETAS SIRAGON NEGRO Y PLATEADO SPEAKER SYSTEM 180W,, MOD.: S/N, SER.: S/N
158626 | TECLADO GENIUS PS/2, COLOR NEGRO	
112308-4 | UNIDAD DE FLOPPY 3,5" HD BLACK
116940 | MOUSE OPTICAL PS/2, COLOR ROJO
PGEB-BM-235 | UPS AITEG AL 700
PGEB-BM-279 | UPS MARCA OMEGA
PGEB-BM-348 | ESCRITORIO EN FORMICA PALO DE ROSA, CON 1 GAVETA DE 1 ,0 X 0,65 X 0,60 S/CERRADURA, MOD.: S/N, SER: S/N
PGEB-BM-492 | CASE SIRAGON NEGRO Y PLATEADO, CPU PENTIUM IV 1.8 GHZ, 512 KB, TARJETA BIOSTAR U8668, HD DE 40 GB, DIMM 256MB, UNIDAD DE CD 52X LG, FLOPPY 3 1/2, MOD.:
PGEB-BM-493 | REGULADOR YBT COMPUTER, 600 VA., MOD.: S/N, SER.: S/N
PGEB-BM-512 | REGULADOR DE VOLTAJE, MARCA SONI VIEW DE 4 TOMAS
PGEB-BM-72 | SILLA GERENCIAL, MOB TECHM TIPO CUERO, COLOR NEGRO
PGEB-BM-74 | SILLA GERENCIAL, MOB TECHM TIPO CUERO, COLOR NEGRO
PGEB-BM-501 | ESCRITORIO MODULAR EN FORMICA DE 1 ,30 X 1 ,60, ALA DE 1 X 0,50, CON SEPARADOR, COLOR NEGRO Y BEIGE, MOD. S/N, SER: S/N
PGEB-BM-76 | SILLA GERENCIAL, MOB TECHM TIPO CUERO, COLOR NEGRO
PGEB-BM-77 | SILLA GERENCIAL, MOB TECHM TIPO CUERO, COLOR NEGRO
PGEB-BM-153 | MONITOR LG DE 20", P.PLANA, FLATRON W2043S, COLOR NEGRO, SERIAL 908NDZJ92389
PGEB-BM-97 | MONITOR LCD 19" - LG L194 WS
PGEB-BM-452 | IMPRESORA HP-810C, MOD.: HP-810C, SER.:
104548 | CORNETAS MARCA  SIRAGON DE 180W	
49625 | BRAZO HIDRAULICO INSTALADO, MOD.: S/N, SER: S/N	
148125-5 | COMBO: CASE (A), CORNETAS (B), RATON C Y TECLADO (D), COLOR NEGRO Y GRIS (GIGABYTE)	
151540 | MOUSE OPTICO PS/2 LM 7035
161445 | TECLADO KEYBOARD
158807 | ROUTER D-NINK DIR-600
RLE-014 | REVISTA LEGISLATIVA ECONOMICA, INDICE ANUAL 1.997, AUTOR: LEGIS LEC EDITORES
PGEB-BM-94 | COMBO CAVA RUBBERMAID, 3 PIEZAS, COLOR AZUL CON BLANCO 48QT
159043-4 | TECLADO COMBO COLOR NEGRO, SERIAL: XEB204008462
159043-3 | CORNETAS COMBO
104550 | CRIPING IIT-210 P/CONECTOR RJ-45
104583 | FREELINE CD SPORT CASE 208CD, PORTA CD COLOR GRIS Y AZUL
JBM-00408 | BOLETIN DE JURISPRUDENCIA. 2DA ETAPA (MAXIMARIO), AUTOR: CORTE SUPREMA DE JUSTICIA
PGEB-BM-196 | AIRE ACONDICIONADO CON CONTROL REMOTO, DE  24000 VTU, MARCA. FRIGILUX, MOD.: ASFR-18KSH-P, SER:JAA0WAAA052515002079
PGEB-BM-481 | CPU PENTIUM IV 1 .8 GHZ, SOC 478/512 KB, HD DE 40 GB, DIMM 256MB, UNIDAD DE CD 52X LG, FLOPPY 3 1/2, MOD.: S/N, SER.: S/N
PGEB-BM-402 | ARCHIVO DE DOS (2) GAVETAS EN FORMICA PALO DE ROSA, BRAZAN ZUI, CON CERRADURA, MOD.: S/N, SER.: S/N	
PGEB-BM-486 | REGULADOR OMEGA, MOD.: S/N, SER: S/N
PGEB-BM-27 | REGULADOR DE VOLTAJE, MARCA AVTEK RPC PLUS, COLOR GRIS
PGEB-BM-144 | SILLA EJECUTIVA PISA SAFA, COLOR AZUL	
PGEB-BM-163 | MONITOR SAMSUNG LCD COLOR NEGRO
PGEB-BM-59 | MONITOR SANSUNG 17", BLACK, MOD. CT. 720 G
PGEB-BM-91 | MONITOR SANSUNG 17" (SYNC MASTER 732N PLUS) SERIAL PE17HVFP302089L, MOD: LS17
PGEB-BM-82 | IMPRESORA MULTIFUNCIONAL, MARCA HP, F4180, SERIA CN 7793WQMN-CBS80A
JBM-0041 6 | BOLETIN DE JURISPRUDENCIA. 2DA ETAPA (MAXIMARIO), AUTOR: CORTE SUPREMA DE JUSTICIA
JBM-00397 | BOLETIN DE JURISPRUDENCIA. 2DA ETAPA (MAXIMARIO), AUTOR: CORTE SUPREMA DE JUSTICIA
JBM-00400 | BOLETIN DE JURISPRUDENCIA. 2DA ETAPA (MAXIMARIO), AUTOR: CORTE SUPREMA DE JUSTICIA
JBM-00407 | BOLETIN DE JURISPRUDENCIA. 2DA ETAPA (MAXIMARIO), AUTOR: CORTE SUPREMA DE JUSTICIA
JBM-0041 7 | BOLETIN DE JURISPRUDENCIA. 2DA ETAPA (MAXIMARIO), AUTOR: CORTE SUPREMA DE JUSTICIA
JBM-00405 | BOLETIN DE JURISPRUDENCIA. 2DA ETAPA (MAXIMARIO), AUTOR: CORTE SUPREMA DE JUSTICIA
PGEB-BM-430 | SILLA VISITANTE  EN SEMICUERO MARRON LINEA CROMADA, SIN BRAZO	
PGEB-BM-188 | MESA DE TRABAJO CON 7 GAVETAS, 5 GAVETAS PEQUENAS Y 2 GRANDES LATERALES CON CERRADURA, MEDIDAS 2,44CMX0,80 CM
PGEB-BM-171 | BALANZA DIGITAL HD-80
PGEB-BM-170 | ASPIRADORA 3M	
JBM-0041 5 | BOLETIN DE JURISPRUDENCIA. 2DA ETAPA (MAXIMARIO), AUTOR: CORTE SUPREMA DE JUSTICIA
JBM-0041 4 | BOLETIN DE JURISPRUDENCIA. 2DA ETAPA (MAXIMARIO), AUTOR: CORTE SUPREMA DE JUSTICIA
JBM-00399 | BOLETIN DE JURISPRUDENCIA. 2DA ETAPA (MAXIMARIO), AUTOR: CORTE SUPREMA DE JUSTICIA
JBM-00403 | BOLETIN DE JURISPRUDENCIA. 2DA ETAPA (MAXIMARIO), AUTOR: CORTE SUPREMA DE JUSTICIA
JBM-0041 8 | BOLETIN DE JURISPRUDENCIA. 2DA ETAPA (MAXIMARIO), AUTOR: CORTE SUPREMA DE JUSTICIA
JBM-00409 | BOLETIN DE JURISPRUDENCIA. 2DA ETAPA (MAXIMARIO), AUTOR: CORTE SUPREMA DE JUSTICIA
JBM-0041 1 | BOLETIN DE JURISPRUDENCIA. 2DA ETAPA (MAXIMARIO), AUTOR: CORTE SUPREMA DE JUSTICIA
JBM-00401 | BOLETIN DE JURISPRUDENCIA. 2DA ETAPA (MAXIMARIO), AUTOR: CORTE SUPREMA DE JUSTICIA
JBM-0041 9 | BOLETIN DE JURISPRUDENCIA. 2DA ETAPA (MAXIMARIO), AUTOR: CORTE SUPREMA DE JUSTICIA
JBM-00398 | BOLETIN DE JURISPRUDENCIA. 2DA ETAPA (MAXIMARIO), AUTOR: CORTE SUPREMA DE JUSTICIA
JBM-0041 3 | BOLETIN DE JURISPRUDENCIA. 2DA ETAPA (MAXIMARIO), AUTOR: CORTE SUPREMA DE JUSTICIA
JBM-00412 | BOLETIN DE JURISPRUDENCIA. 2DA ETAPA (MAXIMARIO), AUTOR: CORTE SUPREMA DE JUSTICIA
159036 | TECLADO USB  GENIOS
40211 | PAPELERA METALICA COLOR NEGRO, MOD.: S/N, SER.: S/N
FCB-1523 | MOUSE MARCA GENIUS MODELO NET SCROLL 120 SERIAL: X52410007779 COLOR NEGRO
FCB-1286 | MOUSE OPTICO MARCA DIAMOND PUERTO PS2 SERIAL: 068020217089 COLOR NEGRO
161446 | MOUSE GENIUS
PGEB-BM-950 | ESCRITORIO SECRETARIAL DOS GAVETAS DE 1,20 MT LONGUITUD COLOR PALO DE ROSA
PGEB-BM-44 | ARCHIVO EN FORMICA DE DOS (2) GAVETAS, CON CERRADURA, COLOR NEGRO
PGEB-BM-216 | MONITOR LED 18,5"
PGEB-BM-928 | MONITOR  MARCA AOC 17" MODELO: 718S-WAG-1  SERIAL: K1387CA006390 COLOR NEGRO.
FCB-1791 | CORNETA  MULTIMEDIA MARCA GENIUS MODELO: SP-S110 SERIAL: ZF9Y2B152187 COLOR NEGRO	
FCB-1819 | TECLADO MULTIMEDIA MARCA X-TECH SIN  MODELO, SERIAL: 20090666019847 COLOR NEGRO	
PGEB-BM-506 | ESCRITORIO MODULAR EN FORMICA DE 1,30 X 1,60, ALA DE 1 X 0,50, CON SEPARADOR, COLOR NEGRO Y BEIGE, MOD.: S/N, SER.: S/N
FCB-0738 | PAPELERA DE FIBRA DE VIDRIO COLOR MARRON
162688 | MOUSE SELEK
FCB-1462 | TECLADO MARCA SONIC MODELO KM-3701 SERIAL: 018100079675 COLOR GRIS/NEGRO
PGEB-BM-834 | TELEVISOR DE 14", MARCA TRINITON-SONY, EN COLOR GRIS SERIAL: S/N 2409808
PGEB-BM-214 | CPU PROCESADOR INTEL 2,7 GHZ, MEMORIA RAM 2GB, DISCO DURO, UNIDAD DVD, TARJETA MADRE ASROCK Y  CASE
PGEB-BM-989 | SILLA DE VISITANTE EN TELA, SIN BRAZOS, ISO ESPALDAR PLASTICO COLOR ROJO
PGEB-BM-951 | TELEFONERA MULTIPLE EN FORMICA 5 GAVETAS(1,60MT LARGO* 0,50MT ANCHO* 0,40 MT PROF) COLOR PALO DE ROSA/NEGRO
PGEB-BM-963 | MODULO ARTURITO+BIBLIOTECA PEQUENA EN FORMICA, 3 GAVETAS COLOR PALO DE ROSA
PGEB-BM-45 | TELEFAX CANON B95, SERIAL NO JDK19240 (412414)
PGEB-BM-142 | SILLA EJECUTIVA PISA SAFA, COLOR NEGRO
PGEB-BM-927 | CPU INCLUYE LOS SIGUIENTES COMPONENTES INTERNOS:PROCESADOR INTEL PENTIUM DUAL CORE 2,20 GHZ E2200,TARJETA MADRE FOX CONN MODELO 631 MX SERIES CHIP INTEL   SERIAL: UV20837000946,DISCO DURO WESTERN DIGITAL 160 GB/7200RPM SATA SERIAL: WMAT21495059,MEMORIA DDR2- 1GB S/NADATA  SERIAL:124,UNIDAD CV/DVD/ QUEMADOR MARCA LITEON 20X  SERIAL: 206838401175,CASE GENERICO ATX 500W   COLOR NEGRO/ PLATEADO.
PGEB-BM-1024 | AIRE ACONDICIONADO 18000 BTU MARCA LG, MODELO:W182CM  SERIAL:911TARU01950 COLOR BLANCO
PGEB-BM-980 | AIRE ACONDICIONADO MARCA  ECOX 18000 BTU  TIPO SPLIT SERIAL COMPRESOR: C1W90969530-SERIAL CONSOLA: C2G91029835 COLOR BLANCO
PGEB-BM-889 | REGULADOR DE VOLTAJE MARCA INTEGRA TECH MODELO WISE 1000VA SERIAL: 055001053 COLOR NEGRO
PGEB-BM-899 | REGULADOR VOLTAJE120V MARCA CDP MODELO B-AVR1006 SERIAL:S/N070830-1299093 COLOR NEGRO.
PGEB-BM-126 | SILLA SEMI EJECUTIVA CON BRAZO COLOR NEGRO
PGEB-BM-909 | SILLA EJECUTIVA EN TELA BASE DE METAL CROMADAS,BRAZOS,  DE CINCO (05) RUEDAS  COLOR NEGRO
PGEB-BM-926 | MONITOR  MARCA AOC 17"   MODELO: 718S-WAG-1, SERIAL:K3186CA000330  COLOR NEGRO.
PGEB-BM-1025 | IMPRESORA MARCA CANON MODELO PIXMA IP2700 SERIAL: NSW24423 COLOR NEGRO
PGEB-BM-924 | IMPRESORA MARCA HP DESKJET MODELO D1560 SERIAL:TH865317Z3  COLOR GRIS
PGEB-BM-847 | SUMADORA MARCA CANNON MODELO MP41DH 14 DIGITOS SERIAL: AZ116423 COLOR GRIS
PGEB-BM-1018 | PIZARRA DE CORCHO SIN MARCA CON MARCO DE ALUMINIO DE: 60CM ANCHO* 48CM DE ALTO.
PGEB-BM-843 | MINI ARCHIVO COLOR PALO DE ROSAS DE 2 GAVETAS	
PGEB-BM-981 | ESCAPARATE EN FORMICA DOS PUERTAS DE (2 MTS ALTO * 1 MT ANCHO * 35 CM PROF) CINCO ENTREPANOS COLOR PALO DE ROSA
66469 | EXTRACTOR DE AIRE PLASTICO 10"P, MARCA TAURUS, COLOR BLANCO, MOD.: S/N, SER.: S/N
PGEB-BM-983 | BIBLIOTECA EN FORMICA 5 DIVISIONES (1,95 M ALT* 1M ANCHO* 39 CM PROF) COLOR PALO DE ROSA
PGEB-BM-913 | SILLA SEMI- EJECUTIVA DE TELA, BASE DE METAL, DOS BRAZOS, DE CINCO RUEDAS, COLOR NEGRO
151539 | MOUSE OPTICO PS/2 LM 7035
49223 | PUERTA EN METAL EN PINTURA NEGRO MATE, BRAZO HIDRAULICO, VIDRIO Y CERRADURA, (ACTA DE DONACION) AL CEDNA-BARINAS ANEXA
148133 | MOUSE, MARCA GENIUS, COLOR GRIS, SERIAL 141934614001
PGEB-BM-236 | UPS AITEG AL 700
PGEB-BM-835 | ESCRITORIO EJECUTIVO FORMICA Y VIDRIO COLOR BEIGE 3 GAVETAS (78 CM ALTO X 2 MT ANCHO X 1 MT PROF)
PGEB-BM-434 | ESCRITORIO EN FORMICA PALO DE ROSA DE 1,20 MTS 2 PUERTAS C/CERRADURA, MOD.: S/N, SER: S/N
PGEB-BM-150 | CASE MEGA POWER COLOR GRIS, MEMORIA KINGSTON 2 GB 667, DISCO DURO 160GB WESTERN DIGITAL SATA, DVD DVDRW LITE ON 22X BULT,NEGRO SATA, PROCESADOR  INTEL DUAL CORE INTEL 2,5 GHZ, TARJETA MADRE ASROCK INTEL 631
PGEB-BM-98 | CPU INTEL PENTIUM DUAL CORE 22 GHZ, TARJETA MADRE FOXCON CHIP INTEL 945,TARJETA MADRE FOXCON CHIP INTEL 945,DISCO DURO DE 160 GB SANSUNG SATA, DVD SUPER MULTI DVD-RW 20X LGSATA
PGEB-BM-344 | TELEFONERA EN FORMICA PALO DE ROSA CON PUERTAS CORREDIZAS DE 1 ,20 X 0,70 X 0,45 C/CERRADURA, MOD.: S/N, SER.: S/N
PGEB-BM-836 | GAVETERO DE 2 COMPARTIMIENTOS DE FORMICA COLOR GRIS Y VINOTINTO
PGEB-BM-220 | CARTELERA  DE CORCHO DE 0,60X 0,90
PGEB-BM-483 | REGULADOR OMEGA, MOD.: S/N, SER: S/N
PGEB-BM-1004 | REGULADOR DE  VOLTAJE  MARCA FORZA MODELO FVR-1211B SERIAL:09040574352  COLOR NEGRO.
PGEB-BM-993 | SILLA SECRETARIAL MODELO ANTONELLA EN TELA, SIN BRAZOS, CON RUEDAS GIRATORIAS COLOR ROJO
